aargang;geografi;geografi.1;kjoenn;aldersgrupper;sysselsatte;andeler;befolkning
2024;1103;Rommen;Begge kjønn;25-39 år;616;73.9;834
2024;1103;Rommen;Begge kjønn;40-49 år;344;69.8;493
2024;1103;Rommen;Begge kjønn;50-59 år;268;58.9;455
2024;1103;Rommen;Begge kjønn;60 -74 år;113;26.8;421
2024;1104;Haugenstua;Begge kjønn;15-24 år;253;50.8;498
2024;1104;Haugenstua;Begge kjønn;25-39 år;678;76.6;885
2024;1104;Haugenstua;Begge kjønn;40-49 år;423;71.0;596
2024;1104;Haugenstua;Begge kjønn;50-59 år;315;59.5;529
2024;1104;Haugenstua;Begge kjønn;60 -74 år;117;25.7;455
2024;1105;Stovner;Begge kjønn;15-24 år;455;54.0;842
2024;1105;Stovner;Begge kjønn;25-39 år;810;72.7;1114
2024;1105;Stovner;Begge kjønn;40-49 år;652;79.5;820
2024;1105;Stovner;Begge kjønn;50-59 år;723;75.7;955
2024;1105;Stovner;Begge kjønn;60 -74 år;350;41.9;836
2024;1106;Høybråten;Begge kjønn;15-24 år;584;50.4;1159
2024;1106;Høybråten;Begge kjønn;25-39 år;1234;76.1;1621
2024;1106;Høybråten;Begge kjønn;40-49 år;1032;81.2;1271
2024;1106;Høybråten;Begge kjønn;50-59 år;890;78.1;1139
2024;1106;Høybråten;Begge kjønn;60 -74 år;413;41.4;997
2024;1201;Furuset;Begge kjønn;15-24 år;716;47.8;1498
2024;1201;Furuset;Begge kjønn;25-39 år;1650;71.1;2321
2024;1201;Furuset;Begge kjønn;40-49 år;1070;66.3;1614
2024;1201;Furuset;Begge kjønn;50-59 år;779;59.0;1321
2024;1201;Furuset;Begge kjønn;60 -74 år;385;29.0;1326
2024;1202;Ellingsrud;Begge kjønn;15-24 år;409;49.3;829
2024;1202;Ellingsrud;Begge kjønn;25-39 år;1328;80.5;1650
2024;1202;Ellingsrud;Begge kjønn;40-49 år;868;78.0;1113
2024;1202;Ellingsrud;Begge kjønn;50-59 år;670;74.9;894
2024;1202;Ellingsrud;Begge kjønn;60 -74 år;350;31.9;1098
2024;1203;Lindeberg;Begge kjønn;15-24 år;494;48.8;1013
2024;1203;Lindeberg;Begge kjønn;25-39 år;1349;75.2;1795
2024;1203;Lindeberg;Begge kjønn;40-49 år;870;73.0;1191
2024;1203;Lindeberg;Begge kjønn;50-59 år;612;61.9;989
2024;1203;Lindeberg;Begge kjønn;60 -74 år;324;30.7;1055
2024;1204;Trosterud;Begge kjønn;15-24 år;524;52.0;1007
2024;1204;Trosterud;Begge kjønn;25-39 år;1751;77.2;2267
2024;1204;Trosterud;Begge kjønn;40-49 år;899;71.7;1253
2024;1204;Trosterud;Begge kjønn;50-59 år;748;63.4;1179
2024;1204;Trosterud;Begge kjønn;60 -74 år;352;30.2;1164
2024;1205;Hellerudtoppen;Begge kjønn;15-24 år;201;46.3;434
2024;1205;Hellerudtoppen;Begge kjønn;25-39 år;548;83.4;657
2024;1205;Hellerudtoppen;Begge kjønn;40-49 år;523;93.7;558
